# Acuerdo IRR, experimento concordancia-50-v1, corte 2026-09-15
# Fuente: panel de administracion, pestana Acuerdo IRR (43 epicrisis solapadas, k promedio 0.72, 222 criterios)
# Solo anotaciones enviadas; k usa frecuencias marginales observadas por par. Comparaciones=17 en todos.
# criterio	acuerdo_pct	kappa
falla.otra	82	-0.59
complicaciones.debilidad_adquirida	82	-0.09
falla.neurologica	82	-0.09
ingreso.diagnostico	82	-0.09
antecedentes.hepatico_digestivo.trasplante_hepatico	88	-0.06
antecedentes.pulmonar	88	-0.06
infecciones.focos.otro	88	-0.06
infecciones.focos.otro.agente	88	-0.06
infecciones.focos.otro.tratamiento	88	-0.06
soporte.respiratorio.bloqueo_neuromuscular	88	-0.06
infecciones.focos.respiratorio	47	-0.04
antecedentes.habitos.alcohol.carga	94	0.00
antecedentes.psiquiatrico.uso_cronico_psicofarmacos	94	0.00
antecedentes.pulmonar.otra_respiratoria	94	0.00
falla.puntaje_gravedad	94	0.00
infecciones.focos.cardiovascular_endocarditis	94	0.00
infecciones.focos.piel_blandas.agente	88	0.00
infecciones.focos.sistema_nervioso	94	0.00
infecciones.focos.sistema_nervioso.tratamiento	94	0.00
infecciones.focos.urinario.agente	94	0.00
ingreso	94	0.00
soporte	88	0.00
soporte.hemodinamico.corticoides_shock	94	0.00
soporte.hemodinamico.otro	94	0.00
soporte.hemodinamico.soporte_circulatorio_mecanico	94	0.00
soporte.hfav	94	0.00
soporte.intervenciones.endoscopico	94	0.00
soporte.renal.otro	82	0.00
soporte.renal.trr_continua	94	0.00
soporte.respiratorio.bloqueo_neuromuscular.mas_de_un_ciclo	94	0.00
soporte.transfusion.masiva	94	0.00
complicaciones.otra	59	0.06
infecciones.focos.respiratorio.iaas	65	0.10
falla.hematologica	65	0.16
infecciones.focos	65	0.24
complicaciones.delirium	88	0.28
infecciones.focos.cateter.tratamiento	82	0.30
infecciones.focos.respiratorio.tratamiento	71	0.30
soporte.transfusion.tipo	71	0.33
antecedentes.quirurgicos	82	0.34
infecciones	71	0.35
infecciones.estadia_upc	71	0.35
soporte.reanimacion.fecha_disponible	82	0.39
antecedentes.habitos.alcohol	82	0.41
infecciones.focos.piel_blandas.tratamiento	88	0.43
soporte.intervenciones.quirurgico	76	0.44
complicaciones.lesiones_presion	82	0.46
soporte.intervenciones	71	0.46
antecedentes.dependencia_funcional	94	0.47
antecedentes.hepatico_digestivo.otra_hepatica_digestiva	94	0.47
infecciones.focos.urinario	94	0.47
soporte.reanimacion.requirio_desfibrilacion	94	0.47
soporte.transfusion	76	0.48
falla.respiratoria	76	0.49
infecciones.sepsis	76	0.52
antecedentes.habitos.tabaquismo	88	0.53
complicaciones	76	0.53
infecciones.focos.respiratorio.agente	82	0.55
soporte.renal	82	0.58
egreso.reingreso_upc	88	0.60
falla	88	0.60
falla.hepatica	88	0.60
infecciones.focos.cateter	88	0.60
infecciones.focos.cateter.agente	88	0.60
antecedentes.habitos	82	0.61
antecedentes.hepatico_digestivo.cirrosis.complicada	94	0.64
antecedentes.inmunologico_reumatologico.autoinmune_tratamiento	94	0.64
antecedentes.metabolico_endocrino.hipotiroidismo	94	0.64
antecedentes.neurologico	94	0.64
